id,ra,dec,sp_mag_u,sp_mag_g,sp_mag_r,sp_mag_i,sp_mag_z,sp_mag_F378,sp_mag_F395,sp_mag_F410,sp_mag_F430,sp_mag_F515,sp_mag_F660,sp_mag_F861,sp_mag_err_u,sp_mag_err_g,sp_mag_err_r,sp_mag_err_i,sp_mag_err_z,sp_mag_err_F378,sp_mag_err_F395,sp_mag_err_F410,sp_mag_err_F430,sp_mag_err_F515,sp_mag_err_F660,sp_mag_err_F861,sp_A,sp_B,sp_PA,sp_radius_petro,sp_radius_50,sp_radius_90,sp_photoz,sp_photoz_odds,ls_mag_g,ls_mag_r,ls_mag_i,ls_mag_z,ls_type,lit_redshift,lit_redshift_err,lit_source,lit_velocity,lit_velocity_err,velocity_offset,dist_proj,dist
31,156.65514,-24.853468,17.444977,16.321617,15.853893,15.614114,15.484643,17.138487,16.7454,16.63855,16.49218,16.170238,15.686058,15.518366,0.30379683,0.012862836,0.008974899,0.009725216,0.015272654,0.09676821,0.06523785,0.053084448,0.043712772,0.027055036,0.009183509,0.01884455,0.0021521756,0.0017715526,-74.14581,5.9399996,17.33427,34.581516,0.020081634,0.9582211,16.139116,15.564727,15.32282,15.211269,REX,0.013746,0.000183,NED_20096dF...C...0000J,4120.947,54.86202,328.914,3.489871,3.281291
32,161.62591578833866,-30.32152432673709,15.438216,16.947289,17.200626,17.17197,16.597466,16.946959,16.380386,16.562805,16.21085,16.340929,16.307104,16.290688,0.1996731,0.07471312,0.12040287,0.17457312,0.19666724,0.24858917,0.14444852,0.15739436,0.1037074,0.09721696,0.059617523,0.17697807,0.005022943,0.0012592234,10.827643,10.56,13.717246,29.857618,0.011326531,0.9947692,17.619045,17.293806,17.146315,17.060743,SER,,,,,,,3.5185541163626044,
33,160.87890676556077,-30.77187070488552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012559,2.3e-05,NED_2003A&A...412...57P,3765.093,6.895227,-22.5,3.579917,3.365955
34,160.62225,-30.88544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008332,3.3e-05,NED_1996ApJS..107...97M,2497.871,9.893151,-1273.911,3.596807,3.381836
35,160.88770564916615,-30.806901281357,15.790287,14.944378,14.484816,14.323004,14.143805,15.366456,15.368781,15.180124,15.122971,14.7328005,14.036813,14.255512,0.020778058,0.0051830728,0.0042583533,0.0051485174,0.008460574,0.01820761,0.01809069,0.014203918,0.012273218,0.009935062,0.003396327,0.012385293,0.0035303358,0.0009177656,12.269754,4.62,14.115799,33.562283,0.013244898,0.99777824,15.015295,14.49969,14.297984,14.057717,SER,0.012625401,,VizieR_J/MNRAS/416/2840/catalog,,,,3.6052389246048855,
36,157.4046,-24.112543,15.43347,14.412798,13.843746,13.637347,13.377123,15.058923,14.7006035,14.554739,14.361572,14.162264,13.647695,13.466711,0.17446083,0.012446996,0.007867687,0.008791933,0.014388287,0.19542576,0.17056803,0.1789676,0.06394911,0.02040791,0.008103618,0.022713961,0.004586024,0.0024017948,-63.82215,9.24,38.697975,92.0603,0.011918368,0.99538535,14.221997,13.625192,13.333068,13.159836,SER,0.012689,7e-06,NED_2005ApJS..160..149S,3804.066,2.098547,15.987,3.75787,3.533272
37,160.03734,-23.82045,14.885601,13.727742,13.1464615,12.889725,12.687637,14.066683,14.33326,14.069418,13.942111,13.580534,12.828192,12.783588,0.015180948,0.0034671843,0.0023677961,0.0029234283,0.004636633,0.009293873,0.017200736,0.013392378,0.011060848,0.006779405,0.0021062861,0.005740622,0.0030833543,0.0026059288,57.315548,5.2799997,20.585348,48.940945,0.018836737,0.99938923,13.759912,13.132706,12.819947,12.626118,SER,0.012115048,2.3e-05,NED_2017A&A...599A.104T,3631.986,6.895227,-153.947,3.771705,3.546281
38,161.3945916001028,-24.28349463191734,16.313461,15.604915,15.226274,15.122458,15.005638,15.786372,15.719001,15.671303,15.579292,15.142506,14.793076,15.061628,0.035648126,0.016768144,0.0046302984,0.005783465,0.009444273,0.029732537,0.03816012,0.041693024,0.036653187,0.022167549,0.0039186478,0.01226725,0.0022765333,0.001001609,85.184875,5.2799997,13.239351,29.663979,0.012408163,0.99862176,,,,,,0.012375,0.00015,NED_20096dF...C...0000J,3709.932,44.968869,-76.973,3.776291,3.550592
39,157.42376503608534,-30.976519707061385,17.18522,16.532299,16.024754,15.890269,15.973243,16.59631,16.740519,16.979694,16.817808,16.379288,15.869792,16.17231,0.07219854,0.021914216,0.017150236,0.020597938,0.039693058,0.052601904,0.08376871,0.09783679,0.075123824,0.042459473,0.01674703,0.07295067,0.0019228952,0.0014370126,27.363022,6.5999994,14.245906,28.600197,0.011326531,0.9974432,16.279276,15.727584,15.502694,15.328485,SER,,,,,,,3.7887664571502366,
40,161.82996,-24.43817,14.462873,13.312864,12.726842,12.453233,12.23394,14.11709,13.871963,13.682854,13.519594,13.136513,12.473115,12.330193,0.013720316,0.0046182484,0.001140427,0.0012010457,0.0017226983,0.013664171,0.015421077,0.014756141,0.012216705,0.0077733397,0.0011300008,0.0023412874,0.0036557377,0.0031172305,67.049545,4.62,24.424036,53.275608,0.012163266,0.9999054,,,,,,0.012172,3e-05,NED_2003MNRAS.339..652K,3649.074,8.993774,-137.072,3.864903,3.633908
41,157.1789,-31.038137,15.65667,14.476283,13.873037,13.610936,13.3912525,15.271183,15.204385,14.853398,14.758294,14.303658,13.495158,13.485237,0.0140960235,0.0030273322,0.002119711,0.0021948603,0.0031181804,0.013069911,0.017214296,0.011876138,0.009842696,0.0056816777,0.001780833,0.005198009,0.0023391903,0.001658623,-13.834371,4.62,11.967505,28.73368,0.012163266,0.99517834,14.430992,13.69712,13.439398,13.159135,SER,0.01404972,4.7e-05,NED_2017A&A...599A.104T,4212.084,14.090246,418.913,3.949138,3.713108
42,156.73448,-24.089212,15.072057,13.845709,13.199953,12.897786,12.650937,14.694195,14.636835,14.208234,14.198492,13.612495,12.913356,12.75427,0.014109067,0.0031439613,0.0018967853,0.0019253668,0.0030508353,0.013241691,0.016298678,0.011392096,0.010216373,0.0053131464,0.0018571338,0.004855479,0.0023300874,0.0020182468,-38.023396,5.2799997,12.211813,36.30771,0.011326531,0.99664843,13.68076,13.000827,12.665291,12.451131,SER,0.011928,3.7e-05,NED_2003A&A...412...57P,3575.924,11.092321,-209.309,4.0649,3.821952
43,163.38896,-29.393923,15.594589,14.093828,13.318813,12.935507,12.665731,15.141487,15.114631,14.664915,14.580374,13.869578,13.121619,12.789062,0.009718643,0.0017202717,0.0010633379,0.00111792,0.0016482659,0.009274727,0.015041818,0.009185016,0.0076238927,0.0034691396,0.0010479947,0.0020958555,0.005056915,0.0023014562,-3.6084342,3.9599998,20.092665,53.918102,0.0063265306,0.9977437,14.210052,13.349488,12.937593,12.668976,SER,0.011428,3.3e-05,NED_2005ApJS..160..149S,3426.028,9.893151,-357.335,4.164506,3.915605
